dataset,epochs,way,train_shot,test_shot,x_dim,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
covtype,3,7,1,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1585714285714285,102.89253783226012
covtype,3,7,1,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1557142857142857,13.77504539489746
covtype,3,7,1,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1557142857142857,13.59856629371643
covtype,3,7,10,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1599999999999999,13.936252355575562
covtype,3,7,10,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1371428571428571,14.305195569992064
covtype,3,7,10,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1357142857142857,14.135676145553589
covtype,3,7,50,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.2428571428571428,16.887622356414795
covtype,3,7,50,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1728571428571428,17.63827395439148
covtype,3,7,50,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1671428571428571,17.839868783950806
covtype,3,7,100,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.3671428571428571,22.46817183494568
covtype,3,7,100,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1628571428571428,20.66024208068848
covtype,3,7,100,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1499999999999999,20.35838413238525
covtype,3,7,200,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.4599999999999999,28.109124422073364
covtype,3,7,200,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1728571428571428,27.65939927101136
covtype,3,7,200,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1528571428571428,28.09794235229492
covtype,3,7,300,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.5142857142857142,34.087510108947754
covtype,3,7,300,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.2028571428571427,34.77402949333191
covtype,3,7,300,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1699999999999999,34.57297897338867
covtype,10,7,1,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1714285714285713,14.482768297195436
covtype,10,7,1,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1585714285714285,14.262112617492676
covtype,10,7,1,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1557142857142857,14.071619033813477
covtype,10,7,10,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.2299999999999999,16.18211054801941
covtype,10,7,10,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1471428571428571,16.29308843612671
covtype,10,7,10,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1399999999999999,16.430119037628174
covtype,10,7,50,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.4371428571428571,24.63961267471313
covtype,10,7,50,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1914285714285713,24.543835878372192
covtype,10,7,50,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1842857142857142,24.895344257354736
covtype,10,7,100,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.5642857142857142,35.5205283164978
covtype,10,7,100,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.2285714285714285,36.224376916885376
covtype,10,7,100,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1785714285714285,35.77260637283325
covtype,10,7,200,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.6028571428571428,60.71112537384033
covtype,10,7,200,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.2742857142857142,65.66898775100708
covtype,10,7,200,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1957142857142857,64.86236763000488
covtype,10,7,300,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.6085714285714284,83.92308902740479
covtype,10,7,300,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.3542857142857142,79.20045566558838
covtype,10,7,300,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.2442857142857142,80.94630885124207
covtype,3,7,1,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1442857142857142,87.66309523582458
covtype,3,7,1,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1385714285714285,84.70313477516174
covtype,3,7,1,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1385714285714285,85.9270851612091
covtype,3,7,10,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1728571428571428,82.60388445854187
covtype,3,7,10,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1471428571428571,85.26840686798096
covtype,3,7,10,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1457142857142857,84.06562685966492
covtype,3,7,100,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.3328571428571428,92.2520501613617
covtype,3,7,100,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1699999999999999,93.93882703781128
covtype,3,7,100,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1585714285714285,96.84183168411256
covtype,3,7,300,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.5328571428571428,118.4572081565857
covtype,3,7,300,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.2014285714285713,116.49159812927246
covtype,3,7,300,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1614285714285714,115.55201482772829
covtype,10,7,1,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1614285714285714,91.39901900291444
covtype,10,7,1,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1385714285714285,83.04392576217651
covtype,10,7,1,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1385714285714285,83.90566539764404
covtype,10,7,10,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.227142857142857,88.47406005859375
covtype,10,7,10,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1514285714285714,91.92461490631104
covtype,10,7,10,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1485714285714285,89.46065521240234
covtype,10,7,100,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.52,117.435941696167
covtype,10,7,100,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.2242857142857142,117.60601615905762
covtype,10,7,100,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1899999999999999,120.0948691368103
covtype,10,7,300,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.6057142857142856,185.76753282547
covtype,10,7,300,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.3557142857142857,175.1320025920868
covtype,10,7,300,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.2499999999999999,154.4912977218628
covtype,3,7,50,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.2328571428571427,167.26026678085327
covtype,3,7,50,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1457142857142856,163.69332647323608
covtype,3,7,50,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1414285714285714,169.1762309074402
covtype,3,7,200,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.5042857142857143,251.35171246528623
covtype,3,7,200,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1928571428571427,227.30052280426025
covtype,3,7,200,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1699999999999999,238.20651483535767
covtype,10,7,50,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.43,216.6756885051728
covtype,10,7,50,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1614285714285714,225.2159388065338
covtype,10,7,50,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.1528571428571428,208.35554671287537
covtype,10,7,200,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.6271428571428571,480.63712215423584
covtype,10,7,200,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.2871428571428571,471.06750750541687
covtype,10,7,200,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,2000,False,False,True,0.22428571428571423,473.033882856369
