dataset,way,train_shot,test_shot,loss,epochs,trials,silent,split,x_dim,z_dim,lr_predictor,lr_target,channels,test_batch,save_data,in_alphabet,add_rotations,augmentation,gpu,accuracy,duration_sec,full_test,table_dataset
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.63,2903.041096687317,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.634,3625.937113046646,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.4679999999999999,20.70889639854431,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,True,True,1,0.4539999999999999,15.914076089859009,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,True,True,1,0.45,15.774935722351074,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,True,True,1,0.498,15.67554759979248,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,True,True,1,0.4759999999999999,15.181406259536743,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,True,True,1,0.48,14.792874336242676,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,True,True,1,0.482,14.866183280944824,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,True,True,1,0.46,14.642706155776978,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,True,True,1,0.4639999999999999,14.751435041427612,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.44,23.033832788467407,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,True,True,1,0.42,22.438777923583984,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,True,True,1,0.42,22.78601813316345,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,True,True,1,0.49,22.850706100463867,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,True,True,1,0.4519999999999999,23.483726978302,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,True,True,1,0.45,22.88517808914185,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,True,True,1,0.488,22.6609103679657,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,True,True,1,0.4359999999999999,23.021397829055783,,
fashion_mnist,10,1,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,True,True,1,0.4259999999999999,22.2414870262146,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.65,52.25020980834961,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,True,True,1,0.664,52.21360445022583,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,True,True,1,0.666,51.44270157814026,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,True,True,1,0.6460000000000001,50.93561363220215,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,True,True,1,0.6459999999999999,53.686426639556885,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,True,True,1,0.6459999999999999,52.25440406799317,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,True,True,1,0.644,52.31000876426697,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,True,True,1,0.632,51.74541354179382,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,True,True,1,0.6360000000000001,53.08224248886109,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.652,73.08360362052917,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,True,True,1,0.666,73.66491866111755,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,True,True,1,0.66,72.78406858444214,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,True,True,1,0.674,72.69393110275269,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,True,True,1,0.6880000000000002,72.95821857452393,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,True,True,1,0.688,74.19438147544861,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,True,True,1,0.666,73.90115451812744,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,True,True,1,0.6780000000000002,74.41671538352966,,
fashion_mnist,10,5,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,True,True,1,0.67,73.67879486083984,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.682,103.55404734611513,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,True,True,1,0.682,102.33657431602478,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,True,True,1,0.688,105.03433871269226,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,True,True,1,0.706,103.92807865142822,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,True,True,1,0.7040000000000001,101.81833028793336,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,True,True,1,0.7040000000000001,97.30000925064088,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,True,True,1,0.708,98.95692610740662,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,True,True,1,0.69,102.36233592033386,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,True,True,1,0.6880000000000002,101.92696571350098,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.6480000000000001,134.7786090373993,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,True,True,1,0.6659999999999999,134.47808146476746,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,True,True,1,0.6659999999999999,133.93740916252136,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,True,True,1,0.67,133.2330243587494,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,True,True,1,0.6759999999999999,131.10598993301392,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,True,True,1,0.6779999999999999,131.38743376731873,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,True,True,1,0.648,132.6328001022339,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,True,True,1,0.6659999999999999,132.0821886062622,,
fashion_mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,True,True,1,0.6679999999999998,132.5819480419159,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.706,492.6202771663666,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,True,True,1,0.748,490.5245001316071,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,True,True,1,0.74,488.5116765499115,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,True,True,1,0.746,509.1921973228455,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,True,True,1,0.762,517.9924368858337,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,True,True,1,0.762,479.2248282432556,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,True,True,1,0.7719999999999999,489.971405506134,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,True,True,1,0.772,496.73310899734497,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,True,True,1,0.7679999999999998,494.8574435710907,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.69,634.9706788063049,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,True,True,1,0.6580000000000001,1555.5963146686554,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,True,True,1,0.648,1585.7381908893583,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,True,True,1,0.77,1329.7450115680697,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,True,True,1,0.79,1015.0835700035096,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,True,True,1,0.792,1596.3829488754272,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,True,True,1,0.764,1599.150498867035,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,True,True,1,0.802,932.8055763244628,,
fashion_mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,True,True,1,0.796,1474.971804857254,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.694,2677.7134878635406,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,True,True,1,0.6680000000000001,1072.0550503730774,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,True,True,1,0.682,1013.4717228412628,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,True,True,1,0.7819999999999999,1013.1383395195008,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,True,True,1,0.796,1061.589742422104,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,True,True,1,0.796,994.354457616806,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,True,True,1,0.76,920.5532188415528,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,True,True,1,0.79,962.4095311164856,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,True,True,1,0.78,925.6644012928008,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.694,1189.6530158519745,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,True,True,1,0.604,1189.352956533432,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,True,True,1,0.588,1181.1013424396515,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,True,True,1,0.8040000000000002,1212.905027627945,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,True,True,1,0.826,1221.8386743068695,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,True,True,1,0.8300000000000002,1222.9552958011627,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,True,True,1,0.8000000000000002,1250.165448665619,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,True,True,1,0.8220000000000001,1239.6054904460907,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,True,True,1,0.8180000000000001,1244.6648330688477,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.63,2952.520414590836,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,True,True,1,0.602,2929.551956653595,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,True,True,1,0.6099999999999999,2943.67306303978,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,True,True,1,0.804,2956.592618227005,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,True,True,1,0.8380000000000001,2963.446353197098,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,True,True,1,0.83,2933.0305457115173,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,True,True,1,0.8180000000000001,2950.215662240982,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,True,True,1,0.834,2926.499706745148,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,True,True,1,0.8320000000000001,2946.528247117996,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.634,4357.108129739761,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,True,True,1,0.59,3838.3763682842255,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,True,True,1,0.5840000000000001,3597.5057747364044,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,True,True,1,0.8219999999999998,3655.9261372089386,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,True,True,1,0.848,3665.1808075904846,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,True,True,1,0.8460000000000001,3674.533632516861,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,True,True,1,0.838,3690.287922382354,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,True,True,1,0.846,3672.980663299561,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,True,True,1,0.846,3664.1925382614136,,
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,2,0.6859999999999999,1687.9495811462402,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,True,True,2,0.648,1703.671592950821,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,True,True,2,0.65,1675.6988472938538,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,True,True,2,0.7920000000000001,1689.4431278705597,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,True,True,2,0.8240000000000001,1671.6237127780914,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,True,True,2,0.8220000000000001,1715.5994374752045,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,True,True,2,0.7900000000000001,1660.3966426849363,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,True,True,2,0.8340000000000001,1655.7572824954989,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,True,True,2,0.8320000000000001,1691.6015191078186,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,2,0.6560000000000001,2203.6194734573364,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,True,True,2,0.5800000000000001,2211.980976581573,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,True,True,2,0.584,2243.046061515808,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,True,True,2,0.7780000000000001,2238.996069908142,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,True,True,2,0.81,2277.127525806427,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,True,True,2,0.8119999999999998,2208.416252613068,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,True,True,2,0.7780000000000001,2235.7801854610443,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,True,True,2,0.7959999999999999,2207.364176750183,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,True,True,2,0.7959999999999999,2210.4970898628235,0.0,0.0
